Timestamp,Title,Article Content,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-05-20,positive,neutral,122.5,123.69,120.1,122.02,17238.12,2108418.94,122.31
2013-05-16,neutral,negative,114.22,118.96999,112.1,118.21,45071.68,5202992.37,115.44
2013-05-16,neutral,neutral,114.22,118.96999,112.1,118.21,45071.68,5202992.37,115.44
2013-05-12,positive,positive,115.65,117.47,112.4,114.82002,20575.19,2357929.41,114.6
2013-05-10,neutral,neutral,112.79899999999999,122.5,111.54,117.7,77443.67,9140709.08,118.03
2013-05-10,positive,positive,112.79899999999999,122.5,111.54,117.7,77443.67,9140709.08,118.03
2013-05-09,neutral,neutral,113.48998999999999,113.71852,108.8,112.79899999999999,26894.46,3003068.41,111.66
2013-05-06,neutral,neutral,115.9372,124.9,106.01,112.25,150048.99,17604384.72,117.32
2013-05-06,negative,positive,115.9372,124.9,106.01,112.25,150048.99,17604384.72,117.32
2013-05-03,neutral,negative,106.5,109.0,79.0,98.1,246411.17,22496255.33,91.3
2013-05-02,positive,positive,116.37998999999999,126.9,91.11,106.25,234129.17,24932099.53,106.49
2013-05-02,positive,negative,116.37998999999999,126.9,91.11,106.25,234129.17,24932099.53,106.49
2013-04-27,neutral,neutral,136.89,139.88,122.71,128.00011,59870.79,7853806.49,131.18
2013-04-26,positive,positive,141.71001,144.987,121.45164,136.90001,128988.67,17058551.43,132.25
2013-04-26,positive,positive,141.71001,144.987,121.45164,136.90001,128988.67,17058551.43,132.25
2013-04-26,neutral,negative,141.71001,144.987,121.45164,136.90001,128988.67,17058551.43,132.25
2013-04-19,neutral,positive,109.15263,136.4321,105.54,118.48,257118.56,30707765.35,119.43
2013-04-18,neutral,negative,93.07,112.99999,86.0,109.01,172934.67,16840477.58,97.38
2013-04-18,neutral,negative,93.07,112.99999,86.0,109.01,172934.67,16840477.58,97.38
2013-04-18,neutral,neutral,93.07,112.99999,86.0,109.01,172934.67,16840477.58,97.38
2013-04-16,neutral,negative,82.5,84.5,50.01,68.35568,572185.69,37382133.29,65.33
2013-04-16,negative,neutral,82.5,84.5,50.01,68.35568,572185.69,37382133.29,65.33
2013-04-14,positive,negative,93.0,109.99799999999999,84.43689,89.99999,166267.46,16195892.56,97.41
2013-04-14,negative,positive,93.0,109.99799999999999,84.43689,89.99999,166267.46,16195892.56,97.41
2013-04-13,neutral,negative,117.0,130.0,85.5,93.0,238226.32,26254439.22,110.21
2013-04-12,neutral,neutral,124.9,140.0,54.25,117.0,556289.1,47600783.3,85.57
2013-04-12,neutral,neutral,124.9,140.0,54.25,117.0,556289.1,47600783.3,85.57
2013-04-12,positive,neutral,124.9,140.0,54.25,117.0,556289.1,47600783.3,85.57
2013-04-11,neutral,positive,166.48158999999998,188.7,110.20003,124.9,118645.43,18855846.81,158.93
2013-04-11,neutral,neutral,166.48158999999998,188.7,110.20003,124.9,118645.43,18855846.81,158.93
2013-04-10,negative,positive,230.04359,266.0,105.0,165.0,190141.86,35109363.41,184.65
2013-04-10,neutral,negative,230.04359,266.0,105.0,165.0,190141.86,35109363.41,184.65
2013-04-09,positive,neutral,186.5,240.111,186.5,230.0,105724.64,22696282.53,214.67
2013-04-08,neutral,negative,163.83899,194.9,162.59806,187.5,114126.51,20713163.11,181.49
2013-04-06,negative,neutral,142.05001000000001,143.9,139.54,142.63111999999998,18273.09,2597665.45,142.16
2013-04-04,neutral,neutral,135.0,142.12,116.39063,132.12001,88124.78,11598387.76,131.61
2013-04-04,positive,neutral,135.0,142.12,116.39063,132.12001,88124.78,11598387.76,131.61
2013-04-04,neutral,positive,135.0,142.12,116.39063,132.12001,88124.78,11598387.76,131.61
2013-04-04,positive,negative,135.0,142.12,116.39063,132.12001,88124.78,11598387.76,131.61
2013-04-03,negative,negative,118.0,147.0,110.0,135.0,152624.24,19519658.71,127.89
2013-04-03,neutral,neutral,118.0,147.0,110.0,135.0,152624.24,19519658.71,127.89
2013-04-01,negative,negative,93.25,106.0,92.2361,104.0,90527.29,9055970.0,100.04
2013-03-28,neutral,negative,88.8,95.7,75.00111,86.18,140226.88,12257633.95,87.41
2013-03-22,neutral,neutral,70.84,73.74999,65.0,69.86501,73168.07,5169041.03,70.65
2013-03-22,neutral,neutral,70.84,73.74999,65.0,69.86501,73168.07,5169041.03,70.65
2013-03-04,positive,neutral,34.499990000000004,36.7,34.19,36.152,46771.49,1659027.49,35.47
